Order ID,Order Date,Region,Product Category,Product Name,Quantity Sold,Unit Price,Revenue,Profit,Customer Segment
ORD1000,2023-01-01 00:00:00.000000000,Asia,Electronics,Laptop,7,798.58,5590.06,866.63,Consumer
ORD1001,2023-01-01 01:44:51.178235647,North America,Clothing,Jeans,8,602.67,4821.36,707.8,Corporate
ORD1002,2023-01-01 03:29:42.356471294,South America,Beauty,Perfume,3,108.98,326.94,77.74,Consumer
ORD1003,2023-01-01 05:14:33.534706941,Europe,Electronics,Laptop,5,605.1,3025.5,945.23,Consumer
ORD1004,2023-01-01 06:59:24.712942588,North America,Beauty,Shampoo,6,65.85,395.09999999999997,125.09,Corporate
ORD1005,2023-01-01 08:44:15.891178235,South America,Clothing,Dress,6,10.77,64.62,25.7,Consumer
ORD1006,2023-01-01 10:29:07.069413882,Asia,Sports,Gym Bag,1,311.2,311.2,80.11,Consumer
ORD1007,2023-01-01 12:13:58.247649529,Asia,Clothing,Sneakers,9,298.32,2684.88,761.31,Small Business
ORD1008,2023-01-01 13:58:49.425885177,Asia,Clothing,Jeans,3,388.64,1165.92,460.5,Consumer
ORD1009,2023-01-01 15:43:40.604120824,North America,Electronics,Headphones,9,55.99,503.91,142.24,Small Business
ORD1010,2023-01-01 17:28:31.782356471,Asia,Home,Bed,5,455.99,2279.95,237.07,Consumer
ORD1011,2023-01-01 19:13:22.960592118,North America,Sports,Gym Bag,9,965.98,8693.82,2977.8,Small Business
ORD1012,2023-01-01 20:58:14.138827765,Asia,Electronics,Smartwatch,9,25.81,232.29,39.32,Corporate
ORD1013,2023-01-01 22:43:05.317063412,Europe,Beauty,Foundation,7,613.9,4297.3,1503.88,Corporate
ORD1014,2023-01-02 00:27:56.495299059,Europe,Electronics,Laptop,3,910.23,2730.69,485.06,Small Business
ORD1015,2023-01-02 02:12:47.673534706,North America,Electronics,Smartphone,8,757.81,6062.48,1379.5,Small Business
ORD1016,2023-01-02 03:57:38.851770354,Asia,Home,Curtains,6,551.24,3307.44,514.16,Consumer
ORD1017,2023-01-02 05:42:30.030006001,Europe,Home,Lamp,2,777.38,1554.76,593.68,Corporate
ORD1018,2023-01-02 07:27:21.208241648,Europe,Home,Sofa,4,601.92,2407.68,906.64,Corporate
ORD1019,2023-01-02 09:12:12.386477295,South America,Clothing,Jeans,8,574.74,4597.92,1178.22,Small Business
ORD1020,2023-01-02 10:57:03.564712942,Europe,Home,Bed,8,846.09,6768.72,2194.39,Corporate
ORD1021,2023-01-02 12:41:54.742948589,Europe,Home,Sofa,5,590.88,2954.4,1150.97,Consumer
ORD1022,2023-01-02 14:26:45.921184236,Asia,Home,Curtains,9,303.31,2729.79,408.32,Consumer
ORD1023,2023-01-02 16:11:37.099419884,Asia,Clothing,Dress,9,987.02,8883.18,2946.31,Consumer
ORD1024,2023-01-02 17:56:28.277655531,South America,Sports,Running Shoes,8,15.47,123.76,42.65,Consumer
ORD1025,2023-01-02 19:41:19.455891178,Europe,Home,Dining Table,1,714.23,714.23,240.73,Corporate
ORD1026,2023-01-02 21:26:10.634126825,Asia,Beauty,Shampoo,5,927.04,4635.2,1368.88,Corporate
ORD1027,2023-01-02 23:11:01.812362472,South America,Beauty,Moisturizer,7,851.54,5960.78,1399.8,Small Business
ORD1028,2023-01-03 00:55:52.990598119,South America,Clothing,Jeans,1,72.92,72.92,14.1,Consumer
ORD1029,2023-01-03 02:40:44.168833766,Europe,Electronics,Laptop,8,669.26,5354.08,1485.16,Corporate
ORD1030,2023-01-03 04:25:35.347069413,North America,Clothing,Sneakers,6,888.34,5330.04,1288.08,Small Business
ORD1031,2023-01-03 06:10:26.525305061,South America,Sports,Gym Bag,5,971.99,4859.95,1723.7,Corporate
ORD1032,2023-01-03 07:55:17.703540708,North America,Home,Bed,5,565.66,2828.2999999999997,936.99,Corporate
ORD1033,2023-01-03 09:40:08.881776355,Asia,Electronics,Smartwatch,7,50.03,350.21000000000004,109.69,Corporate
ORD1034,2023-01-03 11:25:00.060012002,Asia,Home,Sofa,3,41.11,123.33,35.88,Small Business
ORD1035,2023-01-03 13:09:51.238247649,North America,Clothing,Sneakers,4,567.64,2270.56,700.82,Corporate
ORD1036,2023-01-03 14:54:42.416483296,Europe,Home,Bed,5,256.8,1284.0,286.48,Corporate
ORD1037,2023-01-03 16:39:33.594718943,Europe,Electronics,Tablet,4,943.43,3773.72,1055.36,Consumer
ORD1038,2023-01-03 18:24:24.772954590,North America,Home,Dining Table,3,169.61,508.83000000000004,192.8,Corporate
ORD1039,2023-01-03 20:09:15.951190238,North America,Home,Curtains,9,114.44,1029.96,244.06,Consumer
ORD1040,2023-01-03 21:54:07.129425885,Europe,Home,Lamp,4,893.63,3574.52,935.82,Consumer
ORD1041,2023-01-03 23:38:58.307661532,North America,Clothing,Dress,7,897.13,6279.91,1227.1,Consumer
ORD1042,2023-01-04 01:23:49.485897179,Europe,Sports,Football,1,279.41,279.41,82.23,Consumer
